Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,37200.000000,37300.000000,36750.000000,36975.000000,28441.447266,2432500
2023-03-02,37175.000000,38000.000000,36975.000000,38000.000000,29229.884766,2904700
2023-03-03,38075.000000,38500.000000,37650.000000,37950.000000,29191.423828,1869200
2023-03-06,37800.000000,37800.000000,37200.000000,37750.000000,29037.583984,1422400
2023-03-07,37275.000000,37625.000000,37025.000000,37025.000000,28479.906250,1277800
2023-03-08,36925.000000,37900.000000,36550.000000,37900.000000,29152.962891,3387800
2023-03-09,38000.000000,38350.000000,37650.000000,38350.000000,29499.107422,2594100
2023-03-10,38300.000000,38300.000000,37900.000000,38050.000000,29268.343750,1416000
2023-03-13,38050.000000,38900.000000,38025.000000,38750.000000,29806.789063,3822400
2023-03-14,38800.000000,38800.000000,37325.000000,37475.000000,28826.050781,3227400
2023-03-15,37600.000000,38325.000000,37525.000000,37900.000000,29152.962891,2000900
2023-03-16,37700.000000,37700.000000,36150.000000,37200.000000,28614.519531,2838000
2023-03-17,37200.000000,39250.000000,37200.000000,39250.000000,30191.394531,13410000
2023-03-20,39050.000000,39050.000000,37950.000000,38200.000000,29383.728516,1215800
2023-03-21,38400.000000,38600.000000,38025.000000,38350.000000,29499.107422,1184700
2023-03-24,38400.000000,38600.000000,38250.000000,38400.000000,29537.568359,1471500
2023-03-27,38500.000000,38850.000000,38200.000000,38500.000000,29614.488281,3260500
2023-03-28,38700.000000,39750.000000,38600.000000,39725.000000,30556.765625,4144700
2023-03-29,39800.000000,41000.000000,39800.000000,40800.000000,31383.667969,5353500
2023-03-30,40950.000000,41500.000000,38400.000000,39175.000000,30133.705078,8988400
2023-03-31,39425.000000,40250.000000,39350.000000,39400.000000,30306.773438,8890800
2023-04-03,39725.000000,40025.000000,39700.000000,39900.000000,30691.378906,5651200
2023-04-04,40400.000000,40800.000000,40125.000000,40525.000000,31172.134766,5018800
